source,target,tgt_lng
NVIDIA A100 40GB,NVIDIA A100 40GB,
Parameters,参数,
Cache,缓存,
Parameter size,参数大小,
Existing systems,现有系统,
vLLM,vLLM,
Batch size (# requests),批处理大小（请求数量）,
0.4k,0.4k,
0.8k,0.8k,
Orca,Orca,
Max,最大,
Pow2,Pow2,
Oracle,Oracle,
Token states,令牌状态,
Reservation,预留,
Internal frag.,内部碎片,
External frag.,外部碎片,
& Others,及其他,
Figure 1,图1,
LLM,大语言模型,
13B parameters,130亿参数,
NVIDIA A100,NVIDIA A100,
GPU,GPU,
KV cache,KV缓存,
serving throughput,服务吞吐量,
cost per request,每次请求的成本,
autoregressive Transformer model,自回归Transformer模型,
tokens,令牌,
prompt,提示,
termination token,终止词元,
memory-bound,内存受限,
computation power,计算能力,
batching,批处理,
memory space,内存空间,
model weights,模型权重,
dynamic states,动态状态,
key and value tensors,键和值张量,
attention mechanism,注意力机制,
context,上下文,
40GB RAM,40GB内存,
1.2k,1.2千,
Efficient Memory Management for Large Language Model Serving with PagedAttention,使用PagedAttention实现大语言模型服务的高效内存管理,
Woosuk Kwon,权宇锡,
Zhuohan Li,李卓翰,
Siyuan Zhuang,庄思源,
Ying Sheng,盛颖,
Lianmin Zheng,郑廉民,
Cody Hao Yu,余浩德,
Joseph E. Gonzalez,约瑟夫·E·冈萨雷斯,
Hao Zhang,张浩,
Ion Stoica,伊昂·斯托伊卡,
UC Berkeley,加州大学伯克利分校,
Stanford University,斯坦福大学,
Independent Researcher,独立研究员,
UC SanDiego,加州大学圣地亚哥分校,
Abstract,摘要,
High throughput serving of large language models (LLMs),大语言模型（LLM）的高吞吐量服务,
key-value cache (KV cache),键值缓存（KV缓存）,
PagedAttention,分页注意力,
attention algorithm,注意力算法,
virtual memory,虚拟内存,
paging techniques,分页技术,
operating systems,操作系统,
LLM serving system,LLM服务系统,
near-zero waste in KV cache memory,KV缓存内存接近零浪费,
flexible sharing of KV cache,KV缓存的灵活共享,
memory usage,内存使用,
throughput,吞吐量,
latency,延迟,
state-of-the-art systems,最先进的系统,
FasterTransformer,FasterTransformer,
sourcecode,源代码,
