source,target,tgt_lng
"Thoughtworks, Inc.",思特沃克公司,
Volume 33,第33卷,
Nov. 2025,2025年11月,
Technology Radar,技术雷达,
Radar,雷达,
Contributors,贡献者,
Production Credits,制作鸣谢,
Themes,主题,
Techniques,技术,
Platforms,平台,
Tools,工具,
Languages,语言,
Frameworks,框架,
Hold,保持,
Assess,评估,
Trial,试验,
Adopt,采用,
blips,小点,
quadrants,象限,
rings,环,
All Rights Reserved,版权所有,
About the Radar,关于雷达,
Thoughtworkers,思特沃克员工,
technology,技术,
software excellence,软件卓越,
IT,信息技术,
Thoughtworks Technology Radar,思特沃克技术雷达,
Thoughtworks Technology Advisory Board,思特沃克技术咨询委员会,
senior technology leaders,高级技术领导者,
global technology strategy,全球技术战略,
technology trends,技术趋势,
industry,行业,
stakeholders,利益相关者,
developers,开发者,
CTOs,首席技术官,
languages and frameworks,语言和框架,
current position,当前立场,
thoughtworks.com/radar/faq,thoughtworks.com/radar/faq,
Fastify,Fastify,
Node.js,Node.js,
Express.js,Express.js,
LangGraph,LangGraph,
LLMs,大语言模型,
vLLM,vLLM,
GPU,GPU,
NVIDIA DGX,NVIDIA DGX,
Intel HPC,Intel HPC,
Llama 3.1,Llama 3.1,
8B,80亿参数,
70B,700亿参数,
Mistral 7B,Mistral 7B,
Llama-SQL,Llama-SQL,
OpenAI SDK,OpenAI SDK,
Azure’s AI Model Catalog,Azure AI模型目录,
Crossplane,Crossplane,
Kubernetes,Kubernetes,
infrastructure-as-code (IaC),基础设施即代码（IaC）,
Terraform,Terraform,
XRD APIs,XRD API,
Small language models,小型语言模型,
SLMs,小型语言模型,
agentic solutions,代理式解决方案,
agentic AI,代理式人工智能,
agentic workflows,代理工作流,
Phi-3,Phi-3,
SmolLM2,SmolLM2,
DeepSeek,深度求索,
Spec-driven development,规范驱动开发,
AI-assisted coding workflows,人工智能辅助编码工作流,
functional specification,功能规范,
structured artifacts,结构化制品,
Kiro,Kiro,
requirements,需求,
design,设计,
tasks creation,任务创建,
spec-kit,spec-kit,
orchestration,编排,
configurable prompts,可配置提示,
constitution,宪法,
Tessl Framework,Tessl框架,
private beta,私有测试版,
September 2025,2025年9月,
Team of coding agents,编码代理团队,
developer,开发者,
AI coding agents,AI编码代理,
architect,架构师,
back-end specialist,后端专家,
tester,测试人员,
Claude Code,Claude Code,
Roo Code,Roo Code,
Kilo Code,Kilo Code,
subagents,子代理,
multiple operating modes,多种操作模式,
